REGN;C1_2;C2_2
272;Ар5.0;0,00
272;Ар5.2;0,00
272;Ариск0;912276,00
272;БК;0,00
272;Кф;1,00
272;КРФмп0;0,00
272;КРФрп0;0,00
272;КРФсп0;0,00
272;КРФмп2;0,00
272;КРФрп2;0,00
272;КРФсп2;0,00
272;Лам;311096,00
272;Лат;1213989,00
272;Овт;997936,00
272;ПК0;60749,00
272;ПК2;60749,00
272;РР0;25033,00
272;РР2;25033,00
272;ПР0;0,00
272;ПР1;0,00
272;ОПР1;0,00
272;СПР1;0,00
272;ФР1;0,00
272;ОФР1;0,00
272;СФР1;0,00
272;ОПР0;0,00
272;ПР2;0,00
272;ОПР2;0,00
272;СПР2;0,00
272;ФР2;0,00
272;ОФР2;0,00
272;СФР2;0,00
272;СПР0;0,00
272;ФР0;0,00
272;ОФР0;0,00
272;ТР;0,00
272;ОТР;0,00
272;ДТР;0,00
272;ГВР(ТР);0,00
272;ГВР(ВР);0,00
272;ГВР(ПР);0,00
272;ГВР(ФР);0,00
272;СФР0;0,00
272;ВР;2002,64
316;Ар1.0;12743278,00
316;Ар1.1;12743278,00
316;Ар1.2;12743278,00
316;Ар2.0;133433,00
316;Ар2.1;133433,00
316;Ар2.2;133433,00
316;Ар3.0;191656,00
316;Ар3.1;191656,00
316;Ар3.2;191656,00
316;Ар4.0;220374299,00
316;Ар4.1;220900349,00
316;Ар4.2;220693682,00
316;Ар5.0;0,00
316;Ар5.1;0,00
316;Ар5.2;0,00
316;Ариск0;33664485,00
316;БК;7581468,00
316;Кф;1,00
316;Кинс;13900,00
316;Крд;102126908,00
316;КРФмп0;0,00
316;КРФрп0;0,00
316;КРФсп0;0,00
316;КРФмп1;0,00
316;КРФрп1;0,00
316;КРФсп1;0,00
316;КРФмп2;0,00
316;КРФрп2;0,00
